,dates,Names of Places,Average Radiance Per Pixel Per month
0,2015-07-01,ALAMEDA,15.004551682105435
1,2015-07-01,ALAMEDA_BEAUMONT-WILSHIRE,16.08524711043746
2,2015-07-01,ALAMEDA_IRVINGTON_COMMUNITY_ASSN,15.542979431152343
3,2015-07-01,ARBOR_LODGE,25.359169030431822
4,2015-07-01,ARDENWALD-JOHNSON_CREEK,16.39989653493339
5,2015-07-01,ARDENWALD-JOHNSON_CREEK_WOODSTOCK,14.914323873453206
6,2015-07-01,ARGAY_TERRACE,32.14841253007528
7,2015-07-01,ARGAY_WILKES_COMMUNITY_GROUP,23.19950883284859
8,2015-07-01,ARLINGTON_HEIGHTS,14.41613347116005
9,2015-07-01,ARLINGTON_HEIGHTS_SYLVAN-HIGHLANDS,9.560999114101008
10,2015-07-01,ARNOLD_CREEK,6.164106158178459
11,2015-07-01,ASHCREEK,8.340781802993884
12,2015-07-01,ASHCREEK_CRESTWOOD,9.91525673866272
13,2015-07-01,BEAUMONT-WILSHIRE,15.024601748301869
14,2015-07-01,BOISE,34.933193735787924
15,2015-07-01,BOISE_ELIOT,51.87069066365561
16,2015-07-01,BRENTWOOD-DARLINGTON,20.560509258536673
17,2015-07-01,BRIDGETON,26.37934789516656
18,2015-07-01,BRIDLEMILE,8.585535064823675
19,2015-07-01,BRIDLEMILE_SOUTHWEST_HILLS_RESIDENTIAL_LEAGUE,6.330667518956412
20,2015-07-01,BROOKLYN_ACTION_CORPS,31.554742119937906
21,2015-07-01,BUCKMAN_COMMUNITY_ASSOCIATION,48.11328270537657
22,2015-07-01,CATHEDRAL_PARK,16.808550791721913
23,2015-07-01,CENTENNIAL_COMMUNITY_ASSN_PLEASANT_VALLEY,15.14377118383836
24,2015-07-01,CENTENNIAL_COMMUNITY_ASSOCIATION,20.739724318943253
25,2015-07-01,COLLINS_VIEW,7.231678681581674
26,2015-07-01,CONCORDIA,20.6047684002452
27,2015-07-01,CRESTON-KENILWORTH,24.094472947632173
28,2015-07-01,CRESTWOOD,11.6500366025903
29,2015-07-01,CULLY_ASSOCIATION_OF_NEIGHBORS,23.66446028943139
30,2015-07-01,EASTMORELAND,11.513088475376609
31,2015-07-01,EASTMORELAND_ARDENWALD-JOHNSON_CREEK,13.035031135265644
32,2015-07-01,EASTMORELAND_REED,15.727073532858013
33,2015-07-01,EAST_COLUMBIA,37.03998198328912
34,2015-07-01,ELIOT,59.616038279113674
35,2015-07-01,FAR_SOUTHWEST,16.882385880069307
36,2015-07-01,FOREST_PARK,3.7175318832681166
37,2015-07-01,FOREST_PARK_LINNTON,4.6642855548335245
38,2015-07-01,FOREST_PARK_NORTHWEST_DISTRICT_ASSOCIATION,26.870946638045773
39,2015-07-01,FOSTER-POWELL,28.019556007385262
